facility_damage,summary_point,lat,long,highlight_in_map2
0.0,POINT (-88.68561983615558 37.136738446189085),37.13674,-88.68562,False
25000.0,POINT (-89.6116652170801 40.66750132260197),40.6675,-89.61167,True
0.0,POINT (-90.9058541579266 32.314876078846986),32.31488,-90.90585,False
60000.0,POINT (-90.9114862894326 30.098386690093797),30.09839,-90.91149,True
0.0,POINT (-90.6077972222222 39.6328333333333),39.63283,-90.6078,False
0.0,POINT (-90.06986666666667 29.871),29.871,-90.06987,False
50000.0,POINT (-76.10028333333332 36.71778333333334),36.71778,-76.10028,True
0.0,POINT (-91.212726 29.692561),29.69256,-91.21273,False
0.0,POINT (-91.212726 29.692561),29.69256,-91.21273,False
0.0,POINT (-95.06182765960547 29.79254428349036),29.79254,-95.06183,False
150000.0,POINT (-88.04462074503431 30.737465805247083),30.73747,-88.04462,True
0.0,POINT (-90.58723229380186 34.49638259152694),34.49638,-90.58723,False
0.0,POINT (-91.214333 29.696562),29.69656,-91.21433,False
0.0,POINT (-90.16840553283664 29.943461838093896),29.94346,-90.16841,False
0.0,POINT (-90.90560629409951 32.314781579282425),32.31478,-90.90561,False
0.0,POINT (-89.08399784974412 41.32160403488),41.3216,-89.084,False
20000.0,POINT (-90.16831970214841 29.94427994728113),29.94428,-90.16832,True
0.0,POINT (-87.54316937148691 41.71813353075184),41.71813,-87.54317,False
0.0,POINT (-90.90654945373517 32.31369733027444),32.3137,-90.90655,False
4800000.0,POINT (-87.90738755353733 31.494523951298724),31.49452,-87.90739,True
20000.0,POINT (-87.6207468509678 41.6506843117285),41.65068,-87.62075,True
0.0,POINT (-87.9996409228182 36.01774784024352),36.01775,-87.99964,False
0.0,POINT (-79.84297482944933 40.35800241942152),40.358,-79.84297,False
0.0,POINT (-87.41288369894144 37.86236604295642),37.86237,-87.41288,False
0.0,POINT (-90.168 42.06433333333333),42.06433,-90.168,False
0.0,POINT (-87.53388671875 41.7175008138021),41.7175,-87.53389,False
235000.0,POINT (-90.73 29.38465),29.38465,-90.73,True
