Field 1,activity_id,lat,long
2996,6841559,29.950685,-91.983025
3028,6884502,30.044793,-93.82155
3290,7260894,36.775168,-76.295038
3331,7344580,30.081925,-94.091595
3497,7603374,30.548756,-87.195141
2870,6623738,29.692561,-91.212726
2871,6623967,29.692561,-91.212726
2876,6633634,29.696562,-91.214333
2932,6720252,29.668585,-91.099354
2934,6723764,29.668585,-91.099354
2943,6751068,40.861935,-73.815817
2946,6754158,32.23772,-88.015385
2974,6810407,31.494472,-87.907309
2994,6840880,30.368853,-88.563763
3000,6844530,29.695193,-91.216703
3062,6924782,32.23772,-88.015385
3067,6928218,32.23772,-88.015385
3069,6933598,30.405801,-88.247894
3086,6951794,31.494472,-87.907309
3111,6980502,38.991086,-74.833593
3243,7175455,32.19869,-93.448028
3347,7372479,29.011081,-95.588263
3368,7390993,29.823397,-93.964321
3442,7476147,30.273645,-81.717073
