,index,activity_id,title,start_dt,end_dt,page,Not at Risk,"At Risk, Not Injured",Dead,Injured,Unnamed: 9,Missing,cargo_damage,facility_damage,vessel_damage,other_damage,serious_marine_incident,marine_board_convened,invest_level,casualty_classification,incident_involvement,invest_type,brief,facility_name,vessel_name,primary_vessel_id,year,facility_damage_review,ambiguous_facility_cost
7,7,6623738,Allision - SETH D,2019-01-14,2019-03-26,288,0.0,,,,,,0.0,0.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On 13 January 2019, the towing vessel SETH D was pushing 6 loaded dry cargo barges southbound through the Morgan City Vessel Traffic Area approaching the Morgan City Railraod Bridge.  At approximately 2120, as the SETH D and tow were transiting through the bridge, the port stern barge allided with the bridge fendering system. The current set the vessel and tow to the east and the assist vessel CARRIE MAE and SETH D were unable to correct in time.  There was no damage to the bridge or vessel.",['MORGAN CITY SP RR BRIDGE'],"['SETH D', 'CARRIE MAE']","['634990', '1187293']",2019,False,
8,8,6623967,Allision - JOSSET,2019-01-20,2019-03-26,288,0.0,,,,,,0.0,0.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On 20 January 2019, the towing vessel JOSSET was assisting the towing vessel ENDURANCE southbound through the Morgan City Vessel Traffic Area due to high water.  As the JOSSET broke off from the tow, the current and propeller wash from the ENDURANCE pushed the JOSSET's port quarter into alliding with the north east fender of the railroad bridge.  There was no damage to the JOSSET or the bridge.",['MORGAN CITY SP RR BRIDGE'],"['JOSSET', 'ENDURANCE']","['1116940', '1232349']",2019,False,
12,12,6633634,Bridge Allision - MAXX B,2019-02-27,2019-10-16,288,0.0,,,,,,0.0,0.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On 26 February 2019, the towing vessel MAXX B was southbound on the Atchafalaya River pushing 6 loaded dry cargo barges approaching the Highway 182 bridge in the Vessel Traffic Area. At approximately 2137, the current set the MAXX B and tow to the west and the lead barge of the MAXX B allided with the western leg protection cell of the Highway 182 Bridge. The allision caused the port and starboard strings to break apart.  Assist vessels in the area helped to remake the tow and the vessel pushed in to await responders.  At approximately 0400, the master that was at the wheel at the time of the allision, called in to Vessel Traffic Service Berwick Bay to report that he had left the vessel because his merchant mariner credential had been suspended in November of 2018.  Sector New Orleans confirmed the master's credential was suspended in November of 2018 for a period of 24 months.  The master was not on the vessel by the time the Coast Guard duty teams responded at first light.

There was no damage to the bridge and only minor dents to the lead port barge that did not require repair.",['HWY 182 Bridge'],"['MISS ELIZABETH', 'MR. LUKE', 'MAXX B']","['617703', '625820', '641456']",2019,False,
62,63,6720252,Allision - MISS SOPHIA CLAIRE,2019-03-26,2019-07-29,294,0.0,,,,,,0.0,0.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On 26 March 2019, the towing vessel MISS SOPHIA CLAIRE was southbound on Bayou Boeuf pushing one spud barge en route to Morgan City.  At approximately 1418, as the vessel was transiting the Bayou Boeuf railroad bridge in Amelia, LA, the barge rubbed up against the bridge fendering system after the vessel momentarily lost its port engine due to loose wiring on the control panel.  There was no damage to the barge or bridge.  An electrician attended the vessel and ensured the vessel conducted a satisfactory test of the port engine and the vessel was cleared to proceed.",['Bayou Boeuf Railroad Bridge Morgan City'],['MISS SOPHIA CLAIRE'],['287829'],2019,False,
64,65,6723764,Allision - MR DEAN,2019-06-22,2019-08-02,294,0.0,,,,,,0.0,0.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On 22 June 2019, the towing vessel MR DEAN was pushing the spud barge HOR 100 northbound through the Bayou Boeuf Railroad Bridge with the towing vessel TIM TAUZIN as an assist. At approximately 1330 the HOR 100 bumped the center span fendering system which pushed its starboard bow to the east causing the HOR 100 to allide with the east fendering system.  The allision caused a timber to splinter on the east span fendering system, which does not require immediate repair. The barge was not damaged and there were no injuries or pollution.",['Bayou Boeuf Railroad Bridge Morgan City'],"['MR. DEAN', 'HOR 100', 'TIM TAUZIN']","['596343', '1190837', '1048911']",2019,False,
73,74,6751068,FOXY 3 Pelham Bay Bridge Allision,2019-07-12,2019-09-04,295,0.0,,,,,,0.0,0.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On 12 July 2019 at approximately 0850, the towing vessel FOXY 3 was transiting outbound with an uninspected scowl barge, named '203,' loaded with scrap metal when the scowl barge allided with the Pelham Bay Bridge Fender System. The Master was transiting outbound and misjudged the turn, clipping the forward section of the fender system and causing damage to approximately 3 wooden pilings and the  fender system of the bridge. No damage reported to the towing vessel or scowl barge. Damages are less than $75k, No reported injuries, no reported pollution.

As a result of the investigation, the Coast Guard has determined that the initiating event of the casualty was the allision to the Pelham Bay Bridge fender system. The causal factor that contributed to this casualty included Misjudgment of Turn by Master of FOXY 3.",['Pelham Bay Bridge'],"['203', 'FOXY 3']","[nan, '557507']",2019,False,
76,77,6754158,MISS LYNN - Allision,2019-07-15,2019-10-11,295,0.0,,,,,,0.0,0.0,25000.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On July 14, 2019 at approximately 2100, the Towing Vessel MISS LYNN (ON 639568) was headed southbound toward the Naheola Railroad Bridge on the Tombigbee River MM 173. The vessel was pushing 6 barges loaded with rock. As the vessel was approaching the bridge, the master was too far to the starboard side and could not correct his approach prior to alliding with the cement fendering system. The master was able to place the throttles astern and allided with the fendering system at minimal speed. No damage was apparent on the fendering system. The starboard lead barge, R-9018, sustained minor damage to include a four inch inset and 2 small fractures above the water line. No pollution or injuries. Master notified company representative of the allision and the Sector mobile Command Center.",['NAHEOLA BRIDGE'],"['MISS LYNN', 'R 9018']","['639568', '957146']",2019,False,
103,104,6810407,LAT GONSOULIN-Bridge Allision,2019-09-12,2019-10-11,298,0.0,,,,,,0.0,0.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"27JAN2019-While underway with pushing barges, the vessel LAT GONSOULIN did cause the GONSOULIN 516 to allide with the Jackson RR bridge along the aft starboard of the barge on the east side of the bridge cribbing.  The allision cause no damage to the bridge cribbing according to the bridge tender.

While the LAT GONSOULIN was navigating up the Tombigbee River he observed that the river was +6' above flood stage which was a contributing factor in the allision.  The master stated that he was attempting to navigate the tow through the open bridge when strong currents set him toward the east side of the river and the GONSOULIN 516 did touch and scrape the east bridge cribbing.  No other contact occurred.  The vessel reported the allision to the USCG Sector Mobile.  CG Investigators called the Jackson RR Bridge tender and asked if any damage occurred.  The tender reported to the CG that no damage occurred and the bridge was fully operational.  As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the master attempting to pass throught the Jackson County RR bridge during high water stage.  The master should have recongnized his horsepower may have not been able to properly navigate in high water.",['JACKSON RAILROAD BRIDGE'],"['GONSOULIN 516', 'LAT GONSOULIN']","['1226779', '1237082']",2019,False,
122,123,6840880,ITV RANDY ECKSTEIN; Allision,2019-10-24,2019-12-18,300,0.0,,,,,,0.0,0.0,5000.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,On 10/24/2019 at approx. 1500LT the ITV RANDY ECKSTEIN made unintended contact with the CSX R/R Bridge north of USCG Station Pascagoula. The ITV made contact on its starboard side while pushing 6 empty hopper barges. No barges made contact with the bridge.,['CSX RR Bridge (011)'],['RANDY ECKSTEIN'],['1164181'],2019,False,
124,125,6841559,SEATIGER - Allision,2019-10-19,2021-02-09,300,4.0,,,,,,0.0,2000.0,0.0,0.0,False,False,,Routine,"Marine Casualty, Reportable",Incident Investigation,"On October 18, 2019 at approximately 1945, the towing vessel SEATIGER (565697) was transiting north bound on the Delcambre Canal pushing 1 120'x30' crane barge. The vessel made arrangements with the Delcambre Lift Bridge operator to pass underneath. As the vessel was approaching the bridge making at approximately 1 mph, the vessel allided with the bridge. 

The SEATIGER's crane barge struck the south west side bridge fendering system. No damage to the crane barge was sustained. The upper pilling and lighting structure on the fendering system was pushed inward but remains operable and out of harm's way. The estimated damage of the fendering system is $2,000. The casualty did not result in any injuries or pollution. The vessels crew did not conduct drug and alcohol testing.

Through its investigation, the Coast Guard determined that causal factors contributing to this casualty were: 1) The masters misjudgment judgement while navigating the approaches of the bridge. 2) Another vessel moored in vicinity of the approach to the bridge made navigating more difficult.",['Railroad Bridge on Carlin Bayou/Delcambr'],['SEATIGER'],['565697'],2019,False,
