activity_id,lat,long,brief,STUSPS,NAMELSAD,waterway_name,facility_name_ls,vessel_name,latlong_str
6605194,37.13674,-88.68562,"On 02JAN2019 at 0855 hrs the ITV BILL SEYMORE (Florida Marine Transport, 1257962, 3000 HP) that while pushing 3 loaded barges  (MPC 709- 20000 BBL, MPC-777 20000 BBL, MPC 726-20000 BBL of VTB Asphalt)southbound MM 941 OHR while transiting the I24 Highway Bridge (High Water Span) when the vessel was set by the current when the center and stern barge allided with the RDB pier of the I24 Highway bridge at MM 941 OHR (Metropolis, IL). MPC-777 has a 12ft long by 10in deep dent on the stbd side of barge above the waterline. MPC-726 has a 3ft long by 2in deep dent on the stbd side above the waterline and a 10in deep dent on the stern stbd quarter. All voids were sounded and are dry. No other damage, pollution or injuries were reported.


Coast Guard investigation revealed the initiating event to be the Allision. Contributing Factors include 1): Loss of Situational Awareness 2) Master did not take into account predicted River Stages.",KY,McCracken County,['OHIO'],['I-24 HIGHWAY BRIDGE'],"['MPC 726', 'MPC 777', 'BILL SEYMOUR']","37.13674,-88.68562"
6607357,40.6675,-89.61167,"At 2020 CST on January 07, 2019, the ITV ZEUS (O.N. 579001) allided with the Tazewell and Peoria Railroad drawbridge, known as the “Peoria Bridge”, at MM 161 on the Illinois River shearing off the top of the pilothouse and causing an oil spill of hydraulic oil into the Illinois River. The ZEUS was southbound pushing two empty anhydrous ammonia barges abreast (side by side).

Approximately 15 minutes prior to the allision, the master of the ZEUS had made VHF contact with the bridge tender, indicating they were southbound with two barges abreast. The bridge tender relayed that the bridge was up and the master of the ZEUS replied they were continuing south.  When the head of the ZEUS’s tow was approximately 100 yards upstream of the Peoria Bridge, the bridge tender announced twice on VHF 16 that they were intending to lower the bridge. The master of the ZEUS did not hear the callouts and only realized the bridge was being lowered when the bridge mounted channel centerline lights had changed from green to red. The Peoria Bridge tender did not hear the ZEUS master call out on VHF 16 inquiring if they were lowering the bridge on them. Simultaneously, the master of the ZEUS shifted both throttles to full astern but the effort was insufficient to stop the tow in time due to the ZEUS’s headway speed of approximately 6 knots and the close proximity to the bridge.  The master of the ZEUS remained in the pilothouse throughout the allision but only received minor injuries including small cuts and bruises, no other crewmembers sustained any injuries. Upon passing through the bridge, the master of the ZEUS was able to find the throttles amongst the debris and bring the main engines to neutral. The nearby fleeter ITV RIVER EAGLE observed the allision and immediately faced up to the ZEUS and safely maneuvered it to the adjacent bulkhead immediately south of the Peoria Bridge on the right descending bank. When the top of the ZEUS’s pilothouse carried aft along the vessel’s superstructure, it subsequently struck the hydraulic oil storage tank mounted on the aft deck of the 01 level, causing a rupture in the tank resulting in the spill of approximately three gallons.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the allision of the ZEUS with the Peoria Bridge, which caused a temporary closure of the river to vessel traffic and a temporary closure of the bridge to rail traffic. This was followed by the resulting discharge of oil into the Illinois River. The causal factors that contributed to this casualty include: (1) the inappropriate lighting conditions in the bridge tender’s office, (2) the bridge tender’s failure to follow company policy resulting in a lack of situational awareness, (3) the bridge tender’s use of a bad rule to validate vessel traffic prior to lowering the bridge, and (4) the ZEUS’s master’s failure to hear VHF transmissions warning of lowering the bridge. It was determined that no reasonable defense existed which would have prevented the subsequent oil spill.

During the course of the investigation, the vessel representatives of the ZEUS updated the estimated costs of repairs from approximately $200,000 to a cost exceeding the $500,000 threshold for a major marine casualty. After discussion with CG-INV and Sector Upper Mississippi River, the investigation was kept at the informal level and NTSB was not notified due to the notification of the increased cost coming significantly later in the investigation.",IL,Peoria County,['ILLINOIS'],['TAZEWELL AND PEORIA RAILROAD DRAWBRIDGE'],"['KIRBY 23850', 'KIRBY 21853', 'ZEUS', 'RIVER EAGLE', 'PRAIRIE MOON']","40.6675,-89.61167"
6609925,32.31488,-90.90585,"On January 9, 2019 the towing vessel LAMAR GOLDING was underway pushing 02 empty red flag barges (previous cargo benzene) upriver near Vicksburg, Mississippi . At approximately 0200 the Captain had an allision with the Vicksburg Railway and Highway Bridge (LLNR 11380) at MM 435.8 LMR. The Vicksburg Bridge Commission confirmed that preliminary checks conducted on the bridge are good and the bridge engineer reported no bridge damage. The pilot of the towing vessel LAMAR GOLDING stated that a strong gust of wind pushed causing the allision (Alternate Span, STBD pier, LDB) and made contact with the stern barge (GBL 4930) approximately middle-forward on the starboard side.  The Captain stated that there was no pollution, damage, or injuries. 

On January 10, 2019 Inspectors from MSDD Greenville confirmed no damage to the GBL 4930.",LA,Madison Parish,['MISSISSIPPI-LO'],['VICKSBURG RAILWAY AND HIGHWAY BRIDGE'],"['LAMAR GOLDING', 'GBL 4930']","32.31488,-90.90585"
6612921,30.09839,-90.91149,"On January 20, 2019, the towing vessel BARBARA ANN was underway, having just left Weber Fleet at mile 167, pushing two loaded tank barges. The BARBARA ANN was intending to back down through the Sunshine Bridge and then top around in the river below the bridge.  As the vessel was falling with the current, the tow started to swing out and the Captain decided to let it continue to swing and attempted to top around above the bridge, instead of below like originally planned. At approximately 1115, the port bow of the lead barge (K29051) made contact with the center span of the Sunshine Bridge. 

The K29051 sustained damage to the port head log. The wooden fender on the bridge pier was damaged and a small scrape was observed in the cement. 

As a result of its investigation the Coast Guard determined the initiating event for this casualty was the allision between the K29501 and the Sunshine Bridge pier. This was followed by the damage to the barge and the bridge fender system.  The casual factors that contributed to this casualty include: (1) the Lower Mississippi River being in a major flood stage causing stronger river currents and dynamic eddies and (2) the Master's incorrect assessment of how much distance the tow would need to clear the bridge pier.

Conducted descoped Investigation of vessel allision - accepted Master attestation & supplementary documentation in lieu of on-scene investigation due to low risk incident.",LA,St. James Parish,['MISSISSIPPI-LO'],['SUNSHINE BRIDGE'],"['BARBARA ANN', 'KIRBY 29051']","30.09839,-90.91149"
6614921,39.63283,-90.6078,"On January 11, 2019, the KENNY EADS (O.N. 614212) was down bound on the Illinois River Mile Marker 56 pushings 15 loaded dry cargo barges. The Master was transiting the Florence Highway Bridge span and the navigation track caused the RF 608B (O.N. 990627) to rub the east protection cell. RF 608B was in the port string second from the lead barge.",IL,Pike County,['ILLINOIS'],['FLORENCE HIGHWAY DRAWBRIDGE'],"['KENNY EADS', 'RF 608B']","39.63283,-90.6078"
6616783,29.871,-90.06987,"On 11 January 2019 at approximately 1400 local time the trawling vessel PRINCESS AUTUMN had its booms allide with the Lapalco Bridge while transiting the Intra Coastal Waterway. The bridge sustained minor damage to a navigational aid, which was quickly repaired by the Bridge Operator. 

The master stated he had never transited this waterway and thought he had enough clearance to make it under the bridge without requesting the Bridge Operator to open the bridge. 

As a result of its investigation, the Coast Guard has determined that this incident is a reportable Marine Casualty in accordance with 46 CFR Part 4. The level of investigation effort meets the requirements for a data collection.",LA,Jefferson Parish,['GIWW-WEST'],['LAPALCO DRAWBRIDGE'],['PRINCESS AUTUMN'],"29.871,-90.06987"
6617509,36.71778,-76.10028,"On January 17, 2019, at approximately 1355 LMT, the towing vessel JULIA B (O.N. 570858) was underway on the North Landing River in Chesapeake, VA pushing ahead the uninspected empty freight barge DMT 405 (O.N 651469). As the Mate prepared for the transit through the North Landing Bridge, he reduced the speed of the tug and barge from 5 knots to 3 knots and directed the deckhand to the bow of the barge to serve as a lookout. The observed weather conditions were clear skies, with 15 MPH winds from the northeast, and occasional gust up to 17 MPH. As the tug and barge began to transit through the bridge, the bow of the DMT 405 began to fall to the port side and allided with the southeast woodpile fender.

A third party marine surveyor was hired to conduct a bridge assessment by the Army Corps of Engineers. It was determined that the fender ""wales"", which are wooden planks that were bolted horizontally across the woodpile cluster, were cracked and splintered. The red navigation light that was on top of the woodpile fender was knocked over, and rendered inoperable. The navigation light was replaced shortly after the incident. Sector Hampton Roads Investigators were provided with an estimate of $50,000 worth of damage to the bridge fender system. The DMT 405 suffered a 6 inch inset along the port bow rake knuckle approximately 4 feet above the waterline. It did not affect the barge's fitness for service.

As a result of the investigation, the Coast Guard has determined that the initiating event for this casualty was the improper vessel maneuver of the JULIA B by the Mate. The subsequent event was the DMT 405 allision with the woodpile fender. The causal factors that contributed to this casualty include: (1) execution error-attention failure: the Mate failed to take early and substantial action to avoid the allision with the bridge fender system. 

Recommend closing the incident investigation activity with a referral to enforcement.",VA,Chesapeake city,['North Landing River'],['North Landing Bridge'],"['JULIA B', 'DMT 405']","36.71778,-76.10028"
6623738,29.69656,-91.21433,"On 13 January 2019, the towing vessel SETH D was pushing 6 loaded dry cargo barges southbound through the Morgan City Vessel Traffic Area approaching the Morgan City Railraod Bridge.  At approximately 2120, as the SETH D and tow were transiting through the bridge, the port stern barge allided with the bridge fendering system. The current set the vessel and tow to the east and the assist vessel CARRIE MAE and SETH D were unable to correct in time.  There was no damage to the bridge or vessel.",LA,St. Mary Parish,[nan],['MORGAN CITY SP RR BRIDGE'],"['SETH D', 'CARRIE MAE']","29.69656,-91.21433"
6623967,29.69656,-91.21433,"On 20 January 2019, the towing vessel JOSSET was assisting the towing vessel ENDURANCE southbound through the Morgan City Vessel Traffic Area due to high water.  As the JOSSET broke off from the tow, the current and propeller wash from the ENDURANCE pushed the JOSSET's port quarter into alliding with the north east fender of the railroad bridge.  There was no damage to the JOSSET or the bridge.",LA,St. Mary Parish,[nan],['MORGAN CITY SP RR BRIDGE'],"['JOSSET', 'ENDURANCE']","29.69656,-91.21433"
6624408,29.79254,-95.06183,"HOU2019/0043:On February 11, 2019, the master of the inspected towing vessel (ITV) LINDBERG CROSBY reported that his tow allided with the Interstate 10 Highway Bridge located over the San Jacinto River in Houston, Texas. The LINDBERG CROSBY tug is a 55-foot, 66 gross ton, twin screw towing vessel operated by the Crosby Marine Transportation Company.  The master initially reported he observed damage on the head log of the barge and substantial damage to at least one of the bridge supports on the westbound lanes of the highway. 

The master said he was approaching the bridge with the intent to moor at the Kirby’s Cleaning Fleet just south of the bridge. As he approached the bridge, he initiated a series of maneuvers using the throttle controls.  However, unknown to the master, the starboard engine remained clutched into forward propulsion, even though the master reversed to full astern propulsion. 

With the starboard engine unintentionally clutched forward, increased throttle demand for reverse power resulted in faster forward motion. The master attempted evasive maneuvers to steer the vessel clear of the bridge, but the bow rake head log struck the bridge support. The impact's force sheered the concrete pillar approximately 8' above the waterline. The allision halted the vessel's forward momentum. Upon looking aft, the master determined from the prop wash that the starboard engine was still engaged forward even though the throttles were in neutral. The master went to the engine room and found the air valve actuator linkage for the starboard clutch control disconnected, locking the vessel in forward control. The master reconnected the linkage and regained the clutch control of the starboard engine.
 
Damage to the barge resulted in a 1-foot wide by 2-inch deep inset on the forward external head log, internal structural deformation of stiffeners, and a damaged vent mast riser. The estimated total cost for repairs is $26,279. Repairs to the bridge's main structural supports are estimated to cost more than $1.5 million.

The U. S. Coast Guard and National Transportation Safety Board's joint investigation determined the cause of the casualty to be the failure of the marine gear actuator valve linkage. Possible causes for the failure of the actuator linkage include: shaft locking nut was not torqued to the proper specification, or during use, the shaft rotated in a counterclockwise direction effectively unscrewing from the opposing end linkage and disconnecting. Crosby Tugs has developed a more comprehensive inspection plan, including replacement of the actuator valves every 2.5 years in conjunction with the existing dry-dock schedule for each vessel within their fleet. Case closed.",TX,Harris County,['SAN JACINTO RIVER'],['INTERSTATE 10 BRIDGE'],"['LINDA TAYLOR', 'SARA K', 'LINDBERG CROSBY', 'SHAWNEE']","29.79254,-95.06183"
