
5382,DAVID KADINGER MARINE SERVICE INC,,,
9147,"CARGO CARRIERS, INC.",,,
9147,DUFRENE BOATS INC,,,
9147,"LOUISIANA, STATE OF, TRANS. DEPT.",,,
16776,AMERICAN COMMERCIAL LINES LLC,,,
16776,M/G TRANSPORT SERVICES INC,,,
29659,FLORIDA MARINE TRANSPORTERS INC.,,,
29659,PENSACOLA BEACH BRIDGE,,,
38557,LONDON BRIDGE JET BOAT TOURS,,,Reporting Party
81167,THOMAS TRANSPORTATION CORP,,,
86013,"KELSO INDUSTRIES, INC",,,
86013,KIRBY INLAND MARINE INC,,,
86013,KIRBY INLAND MARINE INC.,,,
124072,KOSNAC EQUIPMENT RENTAL INC,"ERIE BASIN               
FOOT OF COLOMBIA ST      

BROOKLYN, NY 11231
",Primary Place of Business,Witness
127736,BURLINGTON NORTHERN/SANTA FE RAILROAD,,,
138869,AMTRAK NEW YORK,,,
138869,AMTRAK NEW YORK,"400 WEST 31ST STREET     
 

NEW YORK CITY, NY 10001
",Primary Place of Business,Reporting Party
138869,BARKER MARINE LTD,"48 Miller Pl
Yaphank Rd

MIDDLE ISLAND, NY 11953
 US",Primary Place of Business,Co-Responsible Party
138869,BARKER MARINE LTD,,,
139863,DONJON MARINE COMPANY INC,,,
139863,MORAN ENTERPRISES CORP,,,
139863,"MORAN TOWING & TRANS CO., INC.",,,
139863,TRAILER BRIDGE INC,,,
144438,CENAC TOWING CO INC,,,
144438,KIRBY INLAND MARINE INC,,,
144438,KIRBY INLAND MARINE INC,,,
144438,KIRBY INLAND MARINE INC OF MISS,,,
144438,KIRBY INLAND MARINE INC OF TEXAS,,,
144438,KIRBY INLAND MARINE INC OF TEXAS,,,
144438,KIRBY INLAND MARINE INC.,,,
144438,KIRBY INLAND MARINE OF MISS.,,,
176982,HENRY MARINE SERVICE INC,,,
176982,WEEKS MARINE INC,,,
1478790,ANDERS WILHELMSEN & CO. A.S.,"BEDDINGEN 8 & AKER BRYGGE
P. O. BOX 1583 VIKA
N-0118 OSLO 1,  
N-0118 OSLO 1 NO",Primary Place of Business,Reporting Party
1478790,MORAN TOWING & TRANS CO INC,"2 GREENWICH PLAZA        
 

GREENWICH, CT 06830
",Primary Place of Business,Reporting Party
1484363,ILIOS SHIPPING COMPANY S.A.,"41 AKTI MIAOULI          

PIRAEUS,  185 35
 GR",Primary Place of Business,Subject of Investigation
1484363,Paralia Corporation,,,
1490088,CHERYL K INC,,,
1493172,COOPER MARINE & TIMBERLANDS CORP.,,,Other
1493172,NORFOLK SOUTHERN RAILWAY CO,,,Other
1495900,MORAN TOWING CORPORATION,,,
1495900,MORAN TOWING CORPORATION,,,Reporting Party
1495900,NEW JERSEY TRANSIT (BRIDGES),,,Notified Party
1597165,PEARL RIVER NAVIGATION,"36318 OLD BAYOU LIBERTY RD
SLIDELL, LA 70460
 US",Mailing,Other
1597165,STATE OF LOUISIANA DEPARTMENT OF HIGHWAYS,,,Other
1597870,"TOMBIGBEE RR BRIDGE, JACKSON, AL",,,Other
1598663,"BLANCHARD TOWING CO, INC",,,Responsible Party
1608318,AMERICAN COMMERCIAL BARGE LINE COMPANY LLC,,,Responsible Party
1616383,NJ DEPARTMENT OF TRANSPORTATION,"801 BROADWAY             
 

BAYONNE, NJ 07002
",Primary Place of Business,Reporting Party
1616383,PNC LEASING LLC,"TWO PNC PLAZA 13TH FLOOR 
620 LIBERTY AVE          

PITTSBURGH, PA 15265
",Primary Place of Business,Other
1616383,SEA WOLF MARINE INC,"6 WATSON COURT EAST      
 

EDISON, NJ 08820-2307
",Primary Place of Business,Reporting Party
1618443,GRAND RIVER NAVIGATION CO INC,"197 WEST ERIE         
 

Rogers City, MI 49779
 US",Primary Place of Business,Subject of Investigation
1619076,MARQUETTE TRANSPORTATION CO INC,,,Reporting Party
1619650,K-SEA TRANSPORTATION CORP,,,Subject of Investigation
1620546,AMERICAN COMMERCIAL BARGE LINE CO,,,Responsible Party
1627713,MAGNIFICA MARINE S.A.,"Salduba Building, Top Floor
East 53rd Street
,  
Urbanizacion Obarrio PM",Primary,Other
1627713,TMT CO LTD,"12TH FL. NO.167
FU HSIN NORTH ROAD

,  
TAIPEI TW",Primary Place of Business,Responsible Party
1635870,OLYMPIC TUG & BARGE INC,"910 SW SPOKANE ST
SEATTLE, WA 98134
 US",Primary Place of Business,Other
1635967,MAGNOLIA MARINE TRANSPORT COMPANY,"2829 LAKELAND DR STE 2000 
P O BOX 1308             

JACKSON, MS 39215-1308
 US",Primary Place of Business,Subject of Investigation
1636161,MERIDIAN & BIGBEE RAILROAD COMPANY,"119 22ND AVENUE SOUTH
MERIDIAN, MS 39301
 US",Mailing,Other
1644660,"WESTERN KENTUCKY NAVIGATION, INC","5059 REIDLAND ROAD       
 

PADUCAH, KY 42003
",Primary Place of Business,Subject of Investigation
1651224,MARQUETTE TRANSPORTATION COMPANY,"2308 S 4TH STREET        
PO BOX 1456              

PADUCAH, KY 42002-1456
 US",Primary Place of Business,Subject of Investigation
1663887,ORSOUTH TRANSPORTATION CO.,"P.O. BOX 533             
 

RESERVE, LA 70084
",Primary Place of Business,Subject of Investigation
1669084,CITY OF CHESAPEAKE,"P.O. BOX 15225           
 

CHESAPEAKE, VA 23320-0225
",Primary Place of Business,Other
1690826,ALBERT & JUDY LLC,,,Responsible Party
1707028,WARRIOR & GULF NAVIGATION CO.,"P.O. box 11397
Chickasaw, AL 36671
 US",Mailing,Co-Responsible Party
1708534,CAPITAL TOWING LIMITED,"1705 BINGLE              
 

HOUSTON, TX 77055
",Primary Place of Business,Reporting Party
1710898,BRIDGE CONSTRUCTION SERVICES INC,"12 DUMBARTON DRIVE       
 

HUNTINGTON, NY 11743
 US",Primary Place of Business,Reporting Party
