activity_id,title,start_dt,end_dt,page
456,MC01001713-SARA EXPRESS BRIDGE ALLISION,2/3/2001,3/5/2009,1
2994,MC01003804-BRIDGE ALLISION/PAX INJURY,3/19/2001,1/3/2005,1
5382,MC01014100-M/V DAVID KADINGER; bridge allision,11/17/2001,10/27/2005,1
9147,MC01007108-M/V REPENT,5/17/2001,3/4/2009,1
9656,MC01013455-CFV MISS VERTIE MAE   ALLISION,10/24/2001,3/8/2007,1
16776,MC01006722-STONEWALL JACKSON/ALLISION,5/3/2001,12/6/2004,1
29659,CAP 'N ACE (M/V); ALLISION-MC01014533,11/27/2001,10/25/2005,1
38557,MC00004614-M/V SEPARATION CONNECTION,4/17/2000,4/5/2006,1
52171,TANKER NARIVA ALLISION WITH HILTON RR BRIDGE,10/23/2001,5/4/2006,1
60375,MC01012708-BRIDGE RUBBING,6/29/2001,4/13/2006,1
61769,F/V CAPT. JIMMY,7/6/2001,4/20/2006,2
63148,"MC01013645-ALLISION,CSX RAILROAD BRIDGE",10/29/2001,12/9/2004,2
63224,MC00016339-RICKMERS TIANJIN ALLISION,12/21/2000,3/9/2009,2
66099,MC01014598-BAYOU BRAVE STRIKES RR BRIDGE,11/29/2001,5/12/2006,2
78355,MC01013111-BRIDGE CELL RUB,7/26/2001,4/14/2006,2
81167,TUG TED WAXLER/ALLISION,8/15/2001,10/18/2005,2
86013,MC01009280-M/V MR. BARRY & TOW/LOUISA BR.,7/19/2001,2/24/2009,2
94101,MC01011515-KTC-60 CHELSEA ST ALLISION,9/5/2001,12/6/2004,2
104142,MC01001818-JAMES E. PHILPOTT W/LOUISA BR.,2/5/2001,4/7/2006,2
112295,MC01005346-M/V FROSTY'S SLEIGH - ALLISION,4/13/2001,12/6/2004,2
113842,MC01011866-WEEKS 202/ALLISION,9/6/2001,2/2/2004,3
115148,MC01014081- M/V LEON,5/31/2001,12/9/2004,3
124072,MARGOT - Bridge Allision (MC01013288),10/14/2001,5/3/2006,3
127736,CHAOS THEORY/Allision with Ballard RR bridge,9/29/2001,5/2/2006,3
138869,MC01013487-DORY BARKER/ALLISION,10/16/2001,12/15/2004,3
139863,MC01012395-SHIELA MORAN/ALLISION,9/20/2001,12/6/2004,3
144438,MC01014424-DISCOVERY/ALLISION,10/18/2001,5/4/2006,3
147796,MC01012181-EVEY T./ALLISION,6/29/2001,4/13/2006,3
152784,MC01010228-OSV ROSS CHOUEST/ALLISION,8/2/2001,4/24/2006,3
168460,MC01009447-M/V DELTA TEAM & TOW/DULAC BR.,7/2/2001,9/30/2003,3
176982,MC01011510-WEEKS 246/ALLISION W/BRIDGE,8/23/2001,10/26/2005,4
178340,MC01014614-CRANE BARGE AV-1 / ALLISION,12/2/2001,6/14/2007,4
180753,M/V TERESA BEESECKER-Allision,4/10/2001,12/6/2004,4
1473897,M/V RIVER PRINCESS - allision,12/21/2001,5/18/2006,4
1476189,M/V KANSAS CITY  Allision,10/19/2001,5/4/2006,4
1477352,M/V Marvin E. Norman/Allision,1/10/2002,5/23/2006,4
1478712,Allision between M/V Daniel Webster & RR Bridge,9/2/2001,4/28/2006,4
1478790,WILMA YANGTZE/ ALLISION,1/8/2001,4/7/2006,4
1480259,LADY LAFON,1/22/2002,5/24/2006,4
1481005,IVC,9/10/2001,4/28/2006,4
1481023,IVC,10/18/2001,5/4/2006,5
1481608,RED DRAGON (D1116937) allision Roosevelt RR Brdg,1/26/2002,5/24/2006,5
1481793,Karla/Allision,1/16/2002,1/28/2005,5
1481825,Northland/Allision,1/28/2002,5/24/2006,5
1481943,Souther Kraft No 16/Allision,10/1/2001,5/2/2006,5
