,activity_id,serious_marine_incident,marine_board_convened,invest_level,casualty_classification,incident_involvement,invest_type
0,456,false,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2994,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,5382,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,9147,false,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,9656,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,16776,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,29659,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,38557,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,52171,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,60375,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,61769,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,63148,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,63224,false,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,66099,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,78355,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,81167,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,86013,false,false,,Major Marine Casualty,Discharge of Oil,Incident Investigation
0,94101,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,104142,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,112295,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,113842,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,115148,false,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,124072,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,127736,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,138869,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,139863,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,144438,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,147796,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,152784,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,168460,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,176982,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,178340,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,180753,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1473897,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1476189,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1477352,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1478712,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1478790,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1480259,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1481005,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1481023,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1481608,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1481793,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1481825,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1481943,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1482004,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1482184,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1482244,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1483032,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1483693,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1484363,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1485807,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1486792,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1487066,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1490088,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1490666,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1490750,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,1492743,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1493172,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1494861,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1495064,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1495407,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1495900,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1597165,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1597870,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1598663,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1602656,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,1605402,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
