activity_id,waterway_role,description,lat,long,waterway_name
456,Location,NW 5TH ST BRIDGE: MIAMI RIVER                                                   ,25.7783316666667,-80.206665,MIAMI RIVER
2994,Location,Aboard Vessel: UNNAMED (FL6039JR): INTRACOASTAL WA,27.616665,-80.366665,ATLANTIC INTRACOASTAL WATERWAY
9656,Location,No Location Entered On MSIS,36.936666,-76.403333,JAMES RIVER
16776,Location,"CAIRO, IL",43.823332,-91.255,MISSISSIPPI RIVER
38557,Location,SEPARATION CONNECTION,34.5,-114.366666666667,LAKE HAVASU
60375,Location,ILLINOIS RIVER,41.09868,-89.36172,ILLINOIS RIVER
61769,Location,Cutoff Lift Bridge,29.5333333333333,-90.3333333333333,BAYOU LAFOURCHE
66099,Location,Legacy - Unknown Location,-90,0.01,ATLANTIC INTRACOASTAL WATERWAY
94101,Location,"CHELSEA, MA: CHELSEA RIVER",42.386665,-71.0233316666667,CHELSEA RIVER
112295,Location,"DANIA, FL - DANIA BRIDGE",26.05,-80.15,DANIA CUT OFF CANAL
113842,Location,Legacy - Unknown Location,-90,0.01,HARLEM RIVER
124072,Location,BROADWAY STREET BRIDGE,40.8733333333333,-73.9116666666667,HARLEM RIVER
127736,Location,Lake Washington/Lake Union Ship Canal,47.6666666666667,-122.4,Lake Washington/Lake Union Ship Canal
138869,Location,PELHAM BAY AMTRAK BRIDGE,40.861666,-73.816666,LONG ISLAND SOUND
139863,Location,DONJON MARINE BERTH,40.684999,-74.151666,NEWARK BAY
144438,Location,OTTAWA RAILROAD BRIDGE,41.35,-88.783333,ILLINOIS RIVER
168460,Location,Dulac Pontoon Bridge: Houma Navigation Canal,29.385,-90.73,Houma Navigation Canal
176982,Location,DOROTHY J,40.8666666666667,-73.9166666666667,Harlem River
180753,Location,GREENVILLE HWY 82 BRIDGE,33.3,-91.165,MISSISSIPPI RIVER
1473897,Location,"Ohio River, mile 980.4",36.9833333333333,-89.14,OHIO RIVER
1478712,Location,Legacy - Unknown Location,-90,0.01,MISSISSIPPI RIVER
1478790,Location,B&O Railroad Bridge,40.64,-74.2,ARTHUR KILL
1481005,Location,Legacy - Unknown Location,-90,0.01,BAYOU LAFOURCHE
1481608,Location,"ST LUCIE RIVER ACCESS, STUART, FL",27.2933333333333,-80.2578333333333,ST. LUCIE RIVER ACCESS
1481825,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
1481943,Location,Chicago Sanitary and Ship Canal,41.5,-88.0333333333333,ILLINOIS RIVER
1482004,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
1482184,Location,Legacy - Unknown Location,-90,0.01,CUMBERLAND RIVER
1482244,Location,MM 665.1 West of the Harvey Lock,26.075,-97.1916666666667,PORT ISABEL SIDE CHANNEL
1483693,Location,CUMBERLAND RIVER MM 126.6,36.5283333333333,-87.3633333333333,CUMBERLAND RIVER
1485807,Location,"ELIZABETH RIVER, EASTERN BRANCH",36.8407333333333,-76.26611,"ELIZABETH RIVER, EASTERN BRANCH"
1486792,Location,Natchez Trace Parkway Bridge,34.84,-87.9333333333333,TENNESSEE RIVER
1490088,Location,Legacy - Unknown Location,-90,0.01,Gulf Intracoastal Waterway
1490750,Location,Gulf Intracoastal Waterway,30.0063333333333,-93.2233333333333,Gulf Intracoastal Waterway
1492743,Location,INDEPENDENCE,37.7,-122.388333333333,CARQUINEZ STRAIT
1493172,Location,BLACK WARRIOR RIVER MILE MARKER 268,32.8416666666667,-87.825,BLACK WARRIOR RIVER
1494861,Location,LOUISVILLE & NASHVILLE BRIDGE,36.1733333333333,-86.7766666666667,TENNESSEE RIVER
1495064,Location,RIO MIAMI,25.7783333333333,-80.2066666666667,MIAMI RIVER
1495407,Location,Legacy - Unknown Location,-90,0.01,Lake Powell
1495900,Location,Raritan River RR Bridge/Raritan Rvr @ Raritan Bay,40.4846666666667,-74.2681666666667,"RARITAN RIVER, S. AMBOY REACH"
1597870,Location,TOMBIGBEE RIVER,31.758091,-88.126633,TOMBIGBEE RIVER
1602656,Location,GREEN - MM 8,37.873611,-87.410833,GREEN RIVER
1605402,Location,ILLINOIS RIVER,41.55657,-88.0775,ILLINOIS RIVER
1605786,Location,ILLINOIS RIVER,39.6862,-90.64047,ILLINOIS RIVER
1606148,Location,OHIO - MM 937,37.114167,-88.624999,OHIO RIVER
1606618,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
1608210,Location,OHIO - MM 94,40.018611,-80.736666,OHIO RIVER
1613348,Location,ILLINOIS RIVER,41.40016,-88.28088,ILLINOIS RIVER
1616383,Location,RARITAN RIVER at Raritan River RR Bridge,40.468,-74.2682666666667,RARITAN RIVER
1618443,Location,St. Joseph River,42.11252,-86.48055,ST. JOSEPH RIVER
1619076,Location,MM 403 UMR,40.795,-91.0916666666667,MISSISSIPPI RIVER
1619650,Location,East River/ Roosevelt Bridge (36th Ave),40.7616666666667,-73.945,EAST RIVER
1620546,Location,MISSISSIPPI RIVER,41.51877,-90.569744,MISSISSIPPI RIVER
1624420,Location,Mississippi River,33.2916666666667,-91.1583333333333,Mississippi River
1624444,Location,MISSISSIPPI RIVER,33.359232,-91.126869,Mississippi River
1629156,Location,NWPRR BR,38.1133333333333,-122.501668333333,PETALUMA RIVER
1632069,Location,MISSISSIPPI - MM 343,40.136111,-91.511666,MISSISSIPPI RIVER
1633390,Location,ATLANTIC INTRACOASTAL WATERWAY,34.2758333333333,-77.7186666666667,ATLANTIC INTRACOASTAL WATERWAY
1633548,Location,APPOMATTOX RIVER,37.3077666666667,-77.3219333333333,APPOMATTOX RIVER
1635870,Location,Duwamish River,47.5425716666667,-122.333365,ELLIOTT BAY
1635967,Location,ARKANSAS RIVER,35.4763333333333,-95.0895,ARKANSAS RIVER
1636161,Location,TOMBIGBEE RIVER,32.520966,-87.883429,TOMBIGBEE RIVER
1636505,Location,"UPPER MISSISSIPPI RIVER, M43.7",37.87365,-89.77932,MISSISSIPPI RIVER
1637623,Location,Legacy - Unknown Location,-90,0.01,TOMBIGBEE RIVER
1639311,Location,CHESAPEAKE BAY,37.0516666666667,-76.075,CHESAPEAKE BAY
1639860,Location,Legacy - Unknown Location,-90,0.01,New River
1644660,Location,MISSISSIPPI RIVER,42.51324,-90.63834,MISSISSIPPI RIVER
1650585,Location,"CUMBERLAND RIVER, MM 63",36.667124,-87.902186,CUMBERLAND RIVER
1656881,Location,MISSISSIPPI - MM 813,44.748611,-92.833333,MISSISSIPPI RIVER
