primary_vessel_id,vessel_name,call_sign,service_type,service_sub,status_lookup,construct_complete_year,out_of_service_date,identification,id_type_id,id_type_name,country,country_id
240646,EPIPHANY,,Recreational,General,Active,1984,,673207,6,Official Number (U.S.),UNITED STATES,176948
275040,IDLE TIME,,Recreational,General,Active,1986,,902747,6,Official Number (U.S.),UNITED STATES,176948
1092924,UNNAMED,,Recreational,General,Active,2010,,BUS20838C010,15,HIN,UNITED STATES,176948
567131,SUMMER BUM,,Recreational,Cabin Cruiser,Active,1976,,MC4569KE,12,State Number,UNITED STATES,176948
575483,PA5820BE,,Recreational,Runabout,Active,1992,,PA5820BE,12,State Number,UNITED STATES,176948
577674,LADYBUG,,Recreational,General,Active,1999,,1130173,6,Official Number (U.S.),UNITED STATES,176948
628203,HA1069C,,Recreational,Runabout,Active,1973,,HA1069C,12,State Number,UNITED STATES,176948
633506,ENDLICH,,Recreational,Cabin Cruiser,Active,,,KMA29654G889,15,HIN,UNITED STATES,176948
647465,IL6023HF,,Recreational,Cabin Cruiser,Active,1987,,IL6023HF,12,State Number,UNITED STATES,176948
624078,LONE STAR,,Recreational,General,Active,2003,,1142508,6,Official Number (U.S.),UNITED STATES,176948
535080,MC7789LN,,Recreational,Cabin Cruiser,Unknown,1984,,MC7789LN,12,State Number,UNITED STATES,176948
1029896,FL4516NJ,,Recreational,General,Active,2006,,FL4516NJ,12,State Number,UNITED STATES,176948
547831,NY4124UU,,Recreational,Runabout,Unknown,,,NY4124UU,12,State Number,UNITED STATES,176948
641758,PRISCILLA D,,Recreational,General,Active,,,1146002,6,Official Number (U.S.),UNITED STATES,176948
1075882,VA7477BS,,Recreational,General,Active,1984,,VA7477BS,12,State Number,UNITED STATES,176948
293548,KANSAN,,Recreational,General,Active,,,915226,6,Official Number (U.S.),UNITED STATES,176948
500251,AVANTI,,Recreational,General,Unknown,,,MD4961AH,12,State Number,UNITED STATES,176948
630272,MC3692LD,,Recreational,Runabout,Active,1978,,SRC12509M78Q,5,Hull Number,UNKNOWN,282527
287444,MAR KEN,,Recreational,General,Active,1987,,914447,6,Official Number (U.S.),UNITED STATES,176948
568630,NC 9265 WR,,Recreational,Runabout,Active,2001,,NC9265WR,12,State Number,UNITED STATES,176948
617050,DECHAMR JACK,,Commercial Fishing Vessel,Pot/Trap,Active,1988,,ME8558A,12,State Number,UNITED STATES,176948
284057,ENDORFIN,,Recreational,General,Active,1986,,909393,6,Official Number (U.S.),UNITED STATES,176948
667434,UNNAMED,,Recreational,Runabout,Active,1997,,CF2039PD,18,Official Number (Foreign),UNKNOWN,282527
643092,NC0302CK,,Recreational,Cabin Cruiser,Active,1995,,NC0302CK,12,State Number,UNITED STATES,176948
276023,FAT TUESDAY                     *,,Recreational,General,Active,1984,,686252,6,Official Number (U.S.),UNITED STATES,176948
593843,WS1533DM,,Recreational,Runabout,Active,1994,,WS1533DM,12,State Number,UNITED STATES,176948
514073,AL1558PL,,Recreational,Runabout,Unknown,,,AL1558PL,12,State Number,UNITED STATES,176948
562649,AZAMARA,,Recreational,General,Active,1992,,1126154,6,Official Number (U.S.),UNITED STATES,176948
1040497,MC1905TE,,Recreational,General,Active,1998,,MC1905TE,12,State Number,UNITED STATES,176948
608953,SALABRATION,,Recreational,General,Active,2003,,1137881,6,Official Number (U.S.),UNITED STATES,176948
643876,VA4522BC,,Recreational,General,Active,2001,,LOPGA633D101,15,HIN,UNKNOWN,282527
565645,LA BITCH,,Recreational,Runabout,Active,1997,,RGMHCS101697,5,Hull Number,UNITED STATES,176948
558932,WN9437NF,,Recreational,Runabout,Unknown,,,WN9437NF,12,State Number,UNITED STATES,176948
1079022,MD8776BU,,Recreational,High Performance,Active,2004,,MD8776BU,12,State Number,UNITED STATES,176948
557188,VA8754LL,,Recreational,Runabout,Unknown,,,VA8754LL,12,State Number,UNITED STATES,176948
1033415,PA3318D8,,Recreational,Runabout,Active,,,PL020203M81H,15,HIN,UNITED STATES,176948
644058,RORECA KIEL,,Recreational,Runabout,Active,1969,,WS3842HA,12,State Number,UNITED STATES,176948
1106231,SONIC,5LAS4,Freight Ship,General Cargo/Container,Active,,,9436484,2,IMO Number,LIBERIA,176841
1065954,NC6773WY,,Recreational,General,Active,2003,,NC6773WY,12,State Number,UNITED STATES,176948
623711,KULRZFUL,,Recreational,General,Active,,,1142376,6,Official Number (U.S.),UNITED STATES,176948
530040,LA3693EV,,Recreational,Runabout,Unknown,,,LA3693EU,12,State Number,UNITED STATES,176948
1105905,T/T AMANTHA,,Recreational,General,Active,2005,,VI0758TC,12,State Number,UNITED STATES,176948
683713,NC2095BK,,Recreational,Runabout,Active,1982,,NC2095BK,12,State Number,UNITED STATES,176948
683710,NC8263BN,,Recreational,Runabout,Active,1988,,NC8263BN,12,State Number,UNITED STATES,176948
686078,PA919BS,,Recreational,Runabout,Active,1996,,PA919BS,12,State Number,UNITED STATES,176948
1077105,FMT 106,,Tank Barge,Oil Cargo Barge,Active,2010,,1228203,6,Official Number (U.S.),UNITED STATES,176948
270746,CANDLE DANCER II,,Recreational,General,Active,,,696983,6,Official Number (U.S.),UNITED STATES,176948
580422,CF3169TM,,Recreational,General,Active,1981,,AVY00376M81H,15,HIN,UNKNOWN,282527
1084946,TX2205RE,,Recreational,Runabout,Active,2010,,SZX02576F010,15,HIN,UNKNOWN,282527
554701,NONE,,Recreational,Runabout,Unknown,,,VA1079KK,12,State Number,UNITED STATES,176948
240322,SHADY LADY,,Recreational,General,Active,1984,,671505,6,Official Number (U.S.),UNITED STATES,176948
2985,REEL DEAL,,Recreational,General,Active,2000,,1093428,6,Official Number (U.S.),UNITED STATES,176948
263089,WAR PAINT,,Recreational,General,Active,1985,,689067,6,Official Number (U.S.),UNITED STATES,176948
282380,BIRDTAIL,,Recreational,General,Active,1986,,905490,6,Official Number (U.S.),UNITED STATES,176948
287456,MISS DEBI,,Commercial Fishing Vessel,Shrimper,Active,1987,,914452,6,Official Number (U.S.),UNITED STATES,176948
910264,MARY KATE,,Recreational,General,Active,,,1203296,6,Official Number (U.S.),UNITED STATES,176948
560349,LAWRENCE LANE,,Recreational,General,Active,2001,,1125279,6,Official Number (U.S.),UNITED STATES,176948
589204,MD8214BN,,Recreational,Runabout,Active,2000,,ZZAL0013I001,15,HIN,UNKNOWN,282527
1116356,FL9989NY,,Recreational,Runabout,Active,2009,,FL9989NY,12,State Number,UNITED STATES,176948
640942,PA8164CK,,Recreational,Runabout,Active,2001,,YAMA1339F101,15,HIN,UNKNOWN,282527
568290,CF4610CM,,Recreational,General,Active,1967,,CF4610CM,12,State Number,UNKNOWN,282527
1040518,VA3628BA,,Recreational,General,Active,2003,,VA3628BA,12,State Number,UNITED STATES,176948
505341,WATERELIEF,,Recreational,General,Active,,,1088157,6,Official Number (U.S.),UNITED STATES,176948
656017,WHY NOT,,,,Active,,,CG656017,13,Coast Guard Number,HAITI,176815
294735,TONI SEA,,Recreational,Cabin Cruiser,Laid Up,1987,2010-09-07T00:00:00-04:00,921287,6,Official Number (U.S.),UNITED STATES,176948
514016,AL1145AN,,Recreational,Runabout,Unknown,,,AL1145AN,12,State Number,UNITED STATES,176948
577877,FL1242LV,,,,Active,2001,,FL1242LV,12,State Number,UNITED STATES,176948
577877,FL1242LV,,,,Active,2001,,FL1242LV,12,State Number,UNITED STATES,176948
507640,GENTLEMAN JACK,,Recreational,General,Unknown,,,CG057906,13,Coast Guard Number,UNITED STATES,176948
593419,ROYAL SAVAGE,,Recreational,General,Active,2001,,SSUR4259I102,15,HIN,CAYMAN ISLANDS,176763
598151,WN0392NK,,Recreational,Runabout,Active,2001,,CG598151,13,Coast Guard Number,UNITED STATES,176948
920229,LION,,Recreational,Runabout,Active,1994,,FL9692LR,12,State Number,UNITED STATES,176948
585311,DUPLICATE OF WARNOW TRADER (9129823),,Freight Ship,General,Inactive,,2007-07-26T00:00:00-04:00,9129823,5,Hull Number,ANTIGUA AND BARBUDA,176732
1080259,NJ6692WK,,Recreational,Runabout,Active,,,NJ6692WK,12,State Number,UNITED STATES,176948
1080262,EMPIRE,,Recreational,General,Active,,,1287814,6,Official Number (U.S.),UNITED STATES,176948
1109840,VAMOS,,Recreational,General,Active,2011,,1231898,6,Official Number (U.S.),UNITED STATES,176948
653375,DUPLICATE OF MARY C (550051),WDD6411,Commercial Fishing Vessel,Troller,Inactive,,2006-12-05T00:00:00-05:00,550051,5,Hull Number,UNITED STATES,176948
1098562,VA5790BK,,Recreational,Runabout,Active,2007,,VA5790BK,12,State Number,UNITED STATES,176948
1119315,MD4565AN,,Recreational,General,Active,1986,,MD4565AN,12,State Number,UNITED STATES,176948
1119316,VA437BP,,Recreational,Runabout,Active,2009,,VA437BP,12,State Number,UNITED STATES,176948
1119317,NY333IGA,,Recreational,Cabin Cruiser,Active,1989,,NY333IGA,12,State Number,UNITED STATES,176948
1119320,UNNAMED,,Recreational,General,Active,,,7687DD,18,Official Number (Foreign),UNKNOWN,282527
505721,KIRBY 10562,,Tank Barge,General 2,Active,1999,,1088426,6,Official Number (U.S.),UNITED STATES,176948
247490,KATHIE'S CLOWN,,Recreational,General,Active,1984,,675479,6,Official Number (U.S.),UNITED STATES,176948
610267,THE GARLIC,,Recreational,General,Active,2002,,1138412,6,Official Number (U.S.),UNITED STATES,176948
602379,VA8638X,WCI7472,Recreational,Runabout,Active,1973,,VA8638X,12,State Number,UNITED STATES,176948
