measure_of_weight,tonnage_type_id,tonnage_type_name,unit_of_measure_id,unit_of_measure_name,primary_vessel_id
15,4,Simplified,64,Long Ton,240646
13,4,Simplified,111,Short Ton,240646
11,4,Simplified,111,Short Ton,275040
14,4,Simplified,64,Long Ton,275040
15,4,Simplified,64,Long Ton,240646
13,4,Simplified,111,Short Ton,240646
11,4,Simplified,111,Short Ton,275040
14,4,Simplified,64,Long Ton,275040
29,4,Simplified,64,Long Ton,577674
23,4,Simplified,111,Short Ton,577674
6,4,Simplified,64,Long Ton,624078
5,4,Simplified,111,Short Ton,624078
21,4,Simplified,111,Short Ton,641758
27,4,Simplified,64,Long Ton,641758
11,4,Simplified,64,Long Ton,293548
10,4,Simplified,111,Short Ton,293548
16,4,Simplified,64,Long Ton,287444
13,4,Simplified,111,Short Ton,287444
24,4,Simplified,64,Long Ton,284057
19,4,Simplified,111,Short Ton,284057
29,4,Simplified,111,Short Ton,276023
32,4,Simplified,64,Long Ton,276023
41,4,Simplified,64,Long Ton,562649
32,4,Simplified,111,Short Ton,562649
30,4,Simplified,111,Short Ton,608953
37,4,Simplified,64,Long Ton,608953
36007,4,Simplified,64,Long Ton,1106231
15938,4,Simplified,111,Short Ton,1106231
8,4,Simplified,64,Long Ton,623711
8,4,Simplified,111,Short Ton,623711
31,4,Simplified,111,Short Ton,1077105
31,4,Simplified,64,Long Ton,1077105
6,4,Simplified,111,Short Ton,270746
7,4,Simplified,64,Long Ton,270746
12,4,Simplified,64,Long Ton,240322
10,4,Simplified,111,Short Ton,240322
12,4,Simplified,64,Long Ton,2985
10,4,Simplified,111,Short Ton,2985
5,4,Simplified,64,Long Ton,263089
5,4,Simplified,111,Short Ton,263089
7,4,Simplified,111,Short Ton,282380
8,4,Simplified,64,Long Ton,282380
17,4,Simplified,64,Long Ton,287456
13,4,Simplified,111,Short Ton,287456
13,4,Simplified,64,Long Ton,910264
10,4,Simplified,111,Short Ton,910264
22,4,Simplified,64,Long Ton,560349
17,4,Simplified,111,Short Ton,560349
105,4,Simplified,111,Short Ton,505341
113,4,Simplified,64,Long Ton,505341
23,4,Simplified,64,Long Ton,294735
19,4,Simplified,111,Short Ton,294735
15,4,Simplified,111,Short Ton,593419
19,4,Simplified,64,Long Ton,593419
8,4,Simplified,111,Short Ton,1080262
8,4,Simplified,64,Long Ton,1080262
37,4,Simplified,64,Long Ton,1109840
29,4,Simplified,111,Short Ton,1109840
716,4,Simplified,64,Long Ton,505721
716,4,Simplified,111,Short Ton,505721
18,4,Simplified,64,Long Ton,247490
14,4,Simplified,111,Short Ton,247490
90,4,Simplified,111,Short Ton,610267
113,4,Simplified,64,Long Ton,610267
15,4,Simplified,64,Long Ton,240646
13,4,Simplified,111,Short Ton,240646
11,4,Simplified,111,Short Ton,275040
14,4,Simplified,64,Long Ton,275040
29,4,Simplified,64,Long Ton,577674
23,4,Simplified,111,Short Ton,577674
6,4,Simplified,64,Long Ton,624078
5,4,Simplified,111,Short Ton,624078
21,4,Simplified,111,Short Ton,641758
27,4,Simplified,64,Long Ton,641758
11,4,Simplified,64,Long Ton,293548
10,4,Simplified,111,Short Ton,293548
16,4,Simplified,64,Long Ton,287444
13,4,Simplified,111,Short Ton,287444
24,4,Simplified,64,Long Ton,284057
19,4,Simplified,111,Short Ton,284057
29,4,Simplified,111,Short Ton,276023
32,4,Simplified,64,Long Ton,276023
41,4,Simplified,64,Long Ton,562649
32,4,Simplified,111,Short Ton,562649
30,4,Simplified,111,Short Ton,608953
37,4,Simplified,64,Long Ton,608953
36007,4,Simplified,64,Long Ton,1106231
15938,4,Simplified,111,Short Ton,1106231
8,4,Simplified,64,Long Ton,623711
8,4,Simplified,111,Short Ton,623711
31,4,Simplified,111,Short Ton,1077105
31,4,Simplified,64,Long Ton,1077105
6,4,Simplified,111,Short Ton,270746
7,4,Simplified,64,Long Ton,270746
12,4,Simplified,64,Long Ton,240322
10,4,Simplified,111,Short Ton,240322
12,4,Simplified,64,Long Ton,2985
10,4,Simplified,111,Short Ton,2985
5,4,Simplified,64,Long Ton,263089
5,4,Simplified,111,Short Ton,263089
7,4,Simplified,111,Short Ton,282380
8,4,Simplified,64,Long Ton,282380
17,4,Simplified,64,Long Ton,287456
13,4,Simplified,111,Short Ton,287456
13,4,Simplified,64,Long Ton,910264
10,4,Simplified,111,Short Ton,910264
22,4,Simplified,64,Long Ton,560349
17,4,Simplified,111,Short Ton,560349
105,4,Simplified,111,Short Ton,505341
113,4,Simplified,64,Long Ton,505341
23,4,Simplified,64,Long Ton,294735
19,4,Simplified,111,Short Ton,294735
15,4,Simplified,111,Short Ton,593419
19,4,Simplified,64,Long Ton,593419
8,4,Simplified,111,Short Ton,1080262
8,4,Simplified,64,Long Ton,1080262
37,4,Simplified,64,Long Ton,1109840
29,4,Simplified,111,Short Ton,1109840
716,4,Simplified,64,Long Ton,505721
716,4,Simplified,111,Short Ton,505721
18,4,Simplified,64,Long Ton,247490
14,4,Simplified,111,Short Ton,247490
90,4,Simplified,111,Short Ton,610267
113,4,Simplified,64,Long Ton,610267
35,4,Simplified,64,Long Ton,576387
